para8,model,ban_move,building_effect,building_action,equal_glue_value,offer_range,is_stationed,produce_goods,building_show,produce_time,long_description,click_sfx,cost_resource,name,recommended_location,open_arms,mono_condition,zone,item,unlock_player_level,reward_show,building_inside,description,ruinTime,scan,time,building_prerequisites,build_type,need_science,disrecommend,max_hp,effect_local,tiles_2,upgrade_type,building_effect_last_hide,play_music_para,hero_slots,building_effect_last,para5,level_up,local_num,guard,display_range,model_garbage,coal_normal,time_condition,people,building_effect_local,exp_hero_show,produce_gain_consume,default_army,para1,season_group,direct_exchange,building,cost_consume,season_score,building_mail,receiving_building,working_perform,hero_sort,produce_cost_resource,hummer_build,produce_gain_resource,max_level,detail_desc,tab_type,need_talent,exp,need_pve,storage_resource,produce_cost_consume,pic,para7,para6,unlock_num,para4,id,red_dot,put,para3,effect_condition,effect_number_condition,bd_effect_result,reward,coal_overload,order,display_gallery_condition,no_queue,tiles,glue_exchange_id,resBuild,temperature_status,sup_main_build_id,main_sup_build_id,gift_id,zone_radius,buildclassification,model_world,display_order_gallery,season_mastery,para2,power
"","building_10118000",0,"","","",0,"","",0,"","135163","","","800365","7,4","","","3;0","",0,"",1,"135143","0",2,1419769,"",0,"","",0,"135172,1;scout_speed_name,3","3;3","","","","0","40022;1|30502;0.24|90016;1","",0,"65500;24","0","1","","{}","","","",22000000,"","","","","","10216000;25","1;72000000|14;72000000|2;12000000","","","","0","10113024","","{}","",35,"",2,"",0,0,"","","UI_building_10118000","","","1;10100000,2|2;10100000,11|3;10100000,19","",10113024,0,"","","","","30502;4;30502","105023224","{}",0,"",0,2,"","0","",0,"","",0,0,"","","","",65500
"","building_10118000",0,"","","",0,"","",0,"","135163","","","800365","7,4","","","3;0","",0,"",1,"135143","0",2,1987676,"",0,"","",0,"135172,1;scout_speed_name,3","3;3","","","","0","40022;1|30502;0.25|90016;1","",0,"78400;25","0","1","","{}","","","",25000000,"","","","","","10216000;26","1;100000000|14;100000000|2;16000000","","","","0","10113025","","{}","",35,"",2,"",0,0,"","","UI_building_10118000","","","1;10100000,2|2;10100000,11|3;10100000,19","",10113025,0,"","","","","30502;4;30502","105023225","{}",0,"",0,2,"","0","",0,"","",0,0,"","","","",78400
"","building_10118000",0,"","","",0,"","",0,"","135163","","","800365","7,4","","","3;0","",0,"",1,"135143","0",2,2782747,"",0,"","",0,"135172,1;scout_speed_name,3","3;3","","","","0","40022;1|30502;0.26|90016;1","",0,"93500;26","0","1","","{}","","","",27000000,"","","","","","10216000;27","1;130000000|14;130000000|2;21000000","","","","0","10113026","","{}","",35,"",2,"",0,0,"","","UI_building_10118000","","","1;10100000,2|2;10100000,11|3;10100000,19","",10113026,0,"","","","","30502;4;30502","105023226","{}",0,"",0,2,"","0","",0,"","",0,0,"","","","",93500
"","building_10118000",0,"","","",0,"","",0,"","135163","","","800365","7,4","","","3;0","",0,"",1,"135143","0",2,3895845,"",0,"","",0,"135172,1;scout_speed_name,3","3;3","","","","0","40022;1|30502;0.27|90016;1","",0,"110700;27","0","1","","{}","","","",30000000,"","","","","","10216000;28","1;180000000|14;180000000|2;29000000","","","","0","10113027","","{}","",35,"",2,"",0,0,"","","UI_building_10118000","","","1;10100000,2|2;10100000,11|3;10100000,19","",10113027,0,"","","","","30502;4;30502","105023227","{}",0,"",0,2,"","0","",0,"","",0,0,"","","","",110700
"","building_10118000",0,"","","",0,"","",0,"","135163","","","800365","7,4","","","3;0","",0,"",1,"135143","0",2,5064598,"",0,"","",0,"135172,1;scout_speed_name,3","3;3","","","","0","40022;1|30502;0.28|90016;1","",0,"131000;28","0","1","","{}","","","",33000000,"","","","","","10216000;29","1;260000000|14;260000000|2;41000000","","","","0","10113028","","{}","",35,"",2,"",0,0,"","","UI_building_10118000","","","1;10100000,2|2;10100000,11|3;10100000,19","",10113028,0,"","","","","30502;4;30502","105023228","{}",0,"",0,2,"","0","",0,"","",0,0,"","","","",131000
"","building_10118000",0,"","","",0,"","",0,"","135163","","","800365","7,4","","","3;0","",0,"",1,"135143","0",2,6583978,"",0,"","",0,"135172,1;scout_speed_name,3","3;3","","","","0","40022;1|30502;0.29|90016;1","",0,"155300;29","0","1","","{}","","","",36000000,"","","","","","10216000;30","1;360000000|14;360000000|2;58000000","","","","0","10113029","","{}","",35,"",2,"",0,0,"","","UI_building_10118000","","","1;10100000,2|2;10100000,11|3;10100000,19","",10113029,0,"","","","","30502;4;30502","105023229","{}",0,"",0,2,"","0","",0,"","",0,0,"","","","",155300
"","building_10118000",0,"","","",0,"","",0,"","135163","","","800365","7,4","","","3;0","",0,"",1,"135143","0",2,7242375,"",0,"","",0,"135172,1;scout_speed_name,3","3;3","","","","0","40022;1|30502;0.30|90016;1","",0,"183900;30","0","1","","{}","2;57","","",40000000,"","","","","","10216000;31","1;400000000|14;400000000|2;64000000|23;45000","","","","0","10113030","","{}","",35,"",2,"",0,0,"","","UI_building_10118000","","","1;10100000,2|2;10100000,11|3;10100000,19","",10113030,0,"","","","","30502;4;30502","105023230","{}",0,"",0,2,"","0","",0,"","",0,0,"","","","",183900
"","building_10118000",0,"","","",0,"","",0,"","135163","","","800365","7,4","","","3;0","",0,"",1,"135143","0",2,7966613,"",0,"","",0,"135172,1;scout_speed_name,3","3;3","","","","0","40022;1|30502;0.31|90016;1","",0,"214100;31","0","1","","{}","2;57","","",44000000,"","","","","","10216000;32","1;440000000|14;440000000|2;70000000|23;72000","","","","0","10113031","","{}","",35,"",2,"",0,0,"","","UI_building_10118000","","","1;10100000,2|2;10100000,11|3;10100000,19","",10113031,0,"","","","","30502;4;30502","105023231","{}",0,"",0,2,"","0","",0,"","",0,0,"","","","",214100
"","building_10118000",0,"","","",0,"","",0,"","135163","","","800365","7,4","","","3;0","",0,"",1,"135143","0",2,8763274,"",0,"","",0,"135172,1;scout_speed_name,3","3;3","","","","0","40022;1|30502;0.32|90016;1","",0,"245700;32","0","1","","{}","2;57","","",48000000,"","","","","","10216000;33","1;480000000|14;480000000|2;77000000|23;122400","","","","0","10113032","","{}","",35,"",2,"",0,0,"","","UI_building_10118000","","","1;10100000,2|2;10100000,11|3;10100000,19","",10113032,0,"","","","","30502;4;30502","105023232","{}",0,"",0,2,"","0","",0,"","",0,0,"","","","",245700
"","building_10118000",0,"","","",0,"","",0,"","135163","","","800365","7,4","","","3;0","",0,"",1,"135143","0",2,9201438,"",0,"","",0,"135172,1;scout_speed_name,3","3;3","","","","0","40022;1|30502;0.33|90016;1","",0,"278700;33","0","1","","{}","2;57","","",53000000,"","","","","","10216000;34","1;500000000|14;500000000|2;81000000|23;220320","","","","0","10113033","","{}","",35,"",2,"",0,0,"","","UI_building_10118000","","","1;10100000,2|2;10100000,11|3;10100000,19","",10113033,0,"","","","","30502;4;30502","105023233","{}",0,"",0,2,"","0","",0,"","",0,0,"","","","",278700
