recovery,weight,onsale,icon_B,store_order,is_visible,name_value,itemid,city_buff,denyBuy,alliance_order,decompose,name,type2,icon,color,c_para5,decoration_gift,is_gift,description,pagehot,goods_resource,time,go_to,is_show,allienceNum,type,name_link,para5,price_all,count,needCount,c_para1,recruit_order,goto_para,para1,show_effect,important,popup_type,merge_only,linked_item,default_useCount,tips_para2,tips_para1,sales,seriesId,value,not_gift,tips_type,recycled_item,icon_join,tips_para3,drop_info_para,auto_use,pack_tab_type,getDialog,para4,lv,c_para2,lv_limit,c_para4,id,c_para3,version,use,overdue,page,gift_show,vipnumlimit,allianceNum,order_num,price_hot,pages,rate_show,c_para,join_method,special_info,model,send_use,activtiy_around,make,para3,extra,useall,para,para2,price
"{}","","","",0,"","{}","","",0,0,"{}","item_name_worker_1","","worker_icon_1503",4,"",0,0,"item_desc_worker_1",0,"","","{}",0,"",5,"{}","",0,"","","109100001",0,"","109100001","{}",0,0,"","",1,"","","",0,0,"","","","{}","","","1",3,"{}","",1,"",1,"",512001,"","",1,0,1,"{}",0,"",101099,3,1,"","",0,"","","",0,"","","",1,"","",0
"{}","","","",0,"","{}","","",0,0,"{}","item_name_worker_2","","worker_icon_1103",4,"",0,0,"item_desc_worker_2",0,"","","{}",0,"",5,"{}","",0,"","","109100002",0,"","109100002","{}",0,0,"","",1,"","","",0,0,"","","","{}","","","1",3,"{}","",1,"",1,"",512002,"","",1,0,1,"{}",0,"",101099,0,1,"","",0,"","","",0,"","","",1,"","",0
"{}","","","",0,"","{}","","",0,0,"{}","item_name_706501","23","item_icon_706601",4,"",0,0,"item_desc_706501",0,"","","{}",0,"",5,"{}","",0,"","","210006306",0,"","210006306","{}",0,0,"","",0,"","","",0,0,"","","","{}","","","1",4,"{}","",1,"103421000",1,"",706601,"","",1,0,1,"{}",0,"",100599,1000,1,"","",0,"","","",0,"","","",1,"","",0
"{}","","1","",0,"","{}","","",0,0,"{}","115414","","territory200001",1,"",0,1,"115418",0,"","","{""3"":""35""}",0,"",0,"{}","",0,"","","",0,"","","{}",0,0,"","",1,"","","",0,0,"1","","","{}","","","",6,"{}","",0,"",0,"",200750,"","",0,0,1,"{}",0,"",999999,0,4,"","",0,"","","",0,"","","",0,"","",0
"{}","","1","",0,"","{}","200750","",0,0,"{}","90600392","","territory200001",1,"",0,1,"90600393",0,"","","{}",0,"",5,"{}","",0,"1000","","230013",0,"","100095","{}",0,0,"","",1,"","","",0,0,"1","","","{}","","","",6,"{}","",1,"",1,"",200751,"","",1,0,1,"{}",0,"",999999,0,4,"","",0,"","","",0,"","","",1,"","",0
"{}","","","",0,"","{}","","",0,0,"{}","2000112","","item210453",3,"",0,0,"2000113",0,"","","{}",0,"",5,"{}","",0,"","","7003,1",0,"","106020005","{}",1,0,"","",1,"","","",0,0,"","","","{}","","","1",4,"{}","",1,"",1,"",510001,"","",1,0,1,"{}",0,"",100799,25,1,"","",0,"","","",0,"","","",1,"","",0
"{}","","","",0,"","{}","","",0,0,"{}","2000112","","item210453",4,"",0,0,"2000113",0,"","","{}",0,"",5,"{}","",0,"","","7004,1",0,"","106020006","{}",1,0,"","",1,"","","",0,0,"","","","{}","","","1",4,"{}","",1,"",1,"",510002,"","",1,0,1,"{}",0,"",100799,25,1,"","",0,"","","",0,"","","",1,"","",0
"{}","","","",0,"","{}","","",0,0,"{}","2000112","","item210453",5,"",0,0,"2000113",0,"","","{}",0,"",5,"{}","",0,"","","7005,1",0,"","106020007","{}",1,0,"","",1,"","","",0,0,"","","","{}","","","1",4,"{}","",1,"",1,"",510003,"","",1,0,1,"{}",0,"",100799,25,1,"","",0,"","","",0,"","","",1,"","",0
"{}","","","",0,"","{}","","",0,0,"{}","2000112","","item210453",6,"",0,0,"2000113",0,"","","{}",0,"",5,"{}","",0,"","","7006,1",0,"","106020008","{}",1,0,"","",1,"","","",0,0,"","","","{}","","","1",4,"{}","",1,"",1,"",510004,"","",1,0,1,"{}",0,"",100799,25,1,"","",0,"","","",0,"","","",1,"","",0
"{}","","","",0,"","{}","","",0,0,"{}","2000178","","item210453",3,"",0,0,"2000179",0,"","","{}",0,"",5,"{}","",0,"","","106020009",0,"","106020009","{}",0,0,"","",0,"","","",0,0,"","","","{}","","","1",4,"{}","",1,"",1,"",510005,"","",1,0,1,"{}",0,"",100699,25,1,"","",0,"","","",0,"","","",1,"","",0
"{}","","","",0,"","{}","","",0,0,"{}","2000246","","item210453",1,"",0,0,"item_desc_510006",0,"","","{}",0,"",5,"{}","",0,"","","106020010",0,"","106020010","{}",0,0,"","",0,"","","",0,0,"","","","{}","","","",4,"{}","",1,"",1,"",510006,"","",1,0,1,"{}",0,"",100499,25,1,"","",0,"","","",0,"","","",1,"","",0
"{}","","","",0,"","{}","","",0,0,"{}","2000246","","item210453",2,"",0,0,"item_desc_510007",0,"","","{}",0,"",5,"{}","",0,"","","106020011",0,"","106020011","{}",0,0,"","",0,"","","",0,0,"","","","{}","","","",4,"{}","",1,"",1,"",510007,"","",1,0,1,"{}",0,"",100499,25,1,"","",0,"","","",0,"","","",1,"","",0
"{}","","","",0,"","{}","","",0,0,"{}","2000246","","item210453",3,"",0,0,"item_desc_510008",0,"","","{}",0,"",5,"{}","",0,"","","106020012",0,"","106020012","{}",0,0,"","",0,"","","",0,0,"","","","{}","","","",4,"{}","",1,"",1,"",510008,"","",1,0,1,"{}",0,"",100499,25,1,"","",0,"","","",0,"","","",1,"","",0
"{}","","","",0,"","{}","","",0,0,"{}","2000246","","item210453",4,"",0,0,"item_desc_510009",0,"","","{}",0,"",5,"{}","",0,"","","106020013",0,"","106020013","{}",0,0,"","",0,"","","",0,0,"","","","{}","","","",4,"{}","",1,"",1,"",510009,"","",1,0,1,"{}",0,"",100499,25,1,"","",0,"","","",0,"","","",1,"","",0
"{}","","","",0,"","{}","","",0,0,"{}","2000246","","item210453",5,"",0,0,"item_desc_510010",0,"","","{}",0,"",5,"{}","",0,"","","106020014",0,"","106020014","{}",0,0,"","",0,"","","",0,0,"","","","{}","","","",4,"{}","",1,"",1,"",510010,"","",1,0,1,"{}",0,"",100499,25,1,"","",0,"","","",0,"","","",1,"","",0
"{}","","","",0,"","{}","","",0,0,"{}","431049","","icon_310100",4,"",0,0,"431249",0,"","","{}",0,"",5,"{}","",0,"","","106020018",0,"","106020018","{}",0,0,"","",0,"","","",0,0,"","","","{}","","","1",4,"{}","",1,"",1,"",510011,"","",1,0,4,"{}",0,"",999999,80000,1,"","",0,"","","",0,"","","",1,"","",0
"{}","","","",0,"","{}","","",0,0,"{}","800802","","goods_icon_detect_event",3,"",0,0,"800803",0,"","","{}",0,"",112,"{}","",0,"","","1",0,"","1","{}",0,0,"","",1,"","","",0,0,"","","","{}","","","1",4,"{}","",1,"",1,"",510012,"","",1,0,1,"{}",0,"",100499,100,1,"","",0,"","","",0,"","","",1,"","",0
"{}","","","",0,"","{}","","",0,0,"{}","431073","","icon_410100",5,"",0,0,"431273",0,"","","{}",0,"",5,"{}","",0,"","","106020018",0,"","106020025","{}",0,0,"","",0,"","","",0,0,"","","","{}","","","1",4,"{}","",1,"",1,"",510013,"","",1,0,4,"{}",0,"",999999,80000,1,"","",0,"","","",0,"","","",1,"","",0
"{}","","","",0,"","{}","","",0,0,"{}","431050","","icon_410200",5,"",0,0,"431250",0,"","","{}",0,"",5,"{}","",0,"","","106020018",0,"","106020026","{}",0,0,"","",0,"","","",0,0,"","","","{}","","","1",4,"{}","",1,"",1,"",510014,"","",1,0,4,"{}",0,"",999999,80000,1,"","",0,"","","",0,"","","",1,"","",0
"{}","","","",0,"","{}","","",0,0,"{}","431051","","icon_410300",5,"",0,0,"431251",0,"","","{}",0,"",5,"{}","",0,"","","106020018",0,"","106020027","{}",0,0,"","",0,"","","",0,0,"","","","{}","","","1",4,"{}","",1,"",1,"",510015,"","",1,0,4,"{}",0,"",999999,80000,1,"","",0,"","","",0,"","","",1,"","",0
