show_model_rank_pos,not_rendom_generate,show_model_skill_scale,show_model_pos,buff_path,left_right_action,show_model_path_B,show_model_path_city,hero_detail_shadow_scale,show_model_rank_scale,hero_detail_shadow_pos,hero_showtime_name,city_model_path,half_icon_path_B,half_icon_path_location,canon_path,id,show_model_scale,model_path,gacha_preview_pic,show_model_path,walk_sound,ui_path,model_size,queue_icon_path_B,Temporary_model,show_model_skill_pos,pose_icon_path,half_icon_path,Heroimg_model,queue_icon_path,fire_path,canon_rotation,world_model_path,queue_model_path
"{}","1",0,"{}","{}","","","","{}",0,"{}","","Assets/Main/Prefabs/PVE/DyHeroes/A_Hero_ben_low.prefab","","","vehicle_tanke_skin/To_unity/Root/gun_a/gun",1024,0,"Assets/_Art_LastWar/Models/Cars/tanke/prefab/A_vehicle_tanke.prefab","","ben","","","1","","","{}","","hero_icon_1007","","hero_icon_1007","[""vehicle_tanke_skin/To_unity/Root/gun_a/gun/gun_c/gun_d/guadian""]","{}","Assets/_Art_LastWar/Models/Cars/tanke/prefab/A_vehicle_tanke.prefab",""
"{}","",0,"{}","{}","","","","{}",0,"{}","","Assets/Main/Prefabs/PVE/DyHeroes/A_Hero_ben_low.prefab","","","vehicle_tanke_skin/To_unity/Root/gun_a/gun",1,0,"Assets/_Art_LastWar/Models/Cars/tanke/prefab/A_vehicle_tanke.prefab","","ben","","","1","","","{}","cfm_yingxiong_pose_13","hero_icon_1007","","hero_icon_1007","[""vehicle_tanke_skin/To_unity/Root/gun_a/gun/gun_c/gun_d/guadian""]","{}","Assets/_Art_LastWar/Models/Cars/tanke/prefab/A_vehicle_tanke.prefab",""
"{}","",0,"{}","{}","","","","{}",0,"{}","","Assets/Main/Prefabs/PVE/DyHeroes/A_Hero_ben_low.prefab","","","vehicle_tanke_skin/To_unity/Root/gun_a/gun",2,0,"Assets/_Art_LastWar/Models/Cars/tanke/prefab/A_vehicle_tanke.prefab","","ben","","","1","","","{}","cfm_yingxiong_pose_13","hero_icon_1007","","hero_icon_1007","[""vehicle_tanke_skin/To_unity/Root/gun_a/gun/gun_c/gun_d/guadian""]","{}","Assets/_Art_LastWar/Models/Cars/tanke/prefab/A_vehicle_tanke.prefab",""
"{}","",0,"{}","{}","","","","{}",0,"{}","","Assets/Main/Prefabs/PVE/DyHeroes/A_Hero_ben_low.prefab","","","vehicle_tanke_skin/To_unity/Root/gun_a/gun",3,0,"Assets/_Art_LastWar/Models/Cars/tanke/prefab/A_vehicle_tanke.prefab","","ben","","","1","","","{}","cfm_yingxiong_pose_13","hero_icon_1007","","hero_icon_1007","[""vehicle_tanke_skin/To_unity/Root/gun_a/gun/gun_c/gun_d/guadian""]","{}","Assets/_Art_LastWar/Models/Cars/tanke/prefab/A_vehicle_tanke.prefab",""
"{}","",0,"{}","{}","","","","{}",0,"{}","","Assets/Main/Prefabs/PVE/DyHeroes/A_Hero_ben_low.prefab","","","vehicle_tanke_skin/To_unity/Root/gun_a/gun",4,0,"Assets/_Art_LastWar/Models/Cars/tanke/prefab/A_vehicle_tanke.prefab","","ben","","","1","","","{}","cfm_yingxiong_pose_13","hero_icon_1007","","hero_icon_1007","[""vehicle_tanke_skin/To_unity/Root/gun_a/gun/gun_c/gun_d/guadian""]","{}","Assets/_Art_LastWar/Models/Cars/tanke/prefab/A_vehicle_tanke.prefab",""
"{}","",0,"{}","{}","","","","{}",0,"{}","","Assets/Main/Prefabs/PVE/DyHeroes/A_Hero_ben_low.prefab","","","vehicle_tanke_skin/To_unity/Root/gun_a/gun",5,0,"Assets/_Art_LastWar/Models/Cars/tanke/prefab/A_vehicle_tanke.prefab","","ben","","","1","","","{}","cfm_yingxiong_pose_13","hero_icon_1007","","hero_icon_1007","[""vehicle_tanke_skin/To_unity/Root/gun_a/gun/gun_c/gun_d/guadian""]","{}","Assets/_Art_LastWar/Models/Cars/tanke/prefab/A_vehicle_tanke.prefab",""
"{}","",0,"{}","{}","","","","{}",0,"{}","","Assets/Main/Prefabs/PVE/DyHeroes/A_Hero_ben_low.prefab","","","vehicle_tanke_skin/To_unity/Root/gun_a/gun",6,0,"Assets/_Art_LastWar/Models/Cars/tanke/prefab/A_vehicle_tanke.prefab","","ben","","","1","","","{}","cfm_yingxiong_pose_13","hero_icon_1007","","hero_icon_1007","[""vehicle_tanke_skin/To_unity/Root/gun_a/gun/gun_c/gun_d/guadian""]","{}","Assets/_Art_LastWar/Models/Cars/tanke/prefab/A_vehicle_tanke.prefab",""
"{}","",0,"{}","{}","","","","{}",0,"{}","","Assets/Main/Prefabs/PVE/DyHeroes/A_Hero_ben_low.prefab","","","vehicle_tanke_skin/To_unity/Root/gun_a/gun",7,0,"Assets/_Art_LastWar/Models/Cars/tanke/prefab/A_vehicle_tanke.prefab","","ben","","","1","","","{}","cfm_yingxiong_pose_13","hero_icon_1007","","hero_icon_1007","[""vehicle_tanke_skin/To_unity/Root/gun_a/gun/gun_c/gun_d/guadian""]","{}","Assets/_Art_LastWar/Models/Cars/tanke/prefab/A_vehicle_tanke.prefab",""
"{}","",0,"{}","{}","","","","{}",0,"{}","","Assets/Main/Prefabs/PVE/DyHeroes/A_Hero_ben_low.prefab","","","vehicle_tanke_skin/To_unity/Root/gun_a/gun",8,0,"Assets/_Art_LastWar/Models/Cars/tanke/prefab/A_vehicle_tanke.prefab","","ben","","","1","","","{}","cfm_yingxiong_pose_13","hero_icon_1007","","hero_icon_1007","[""vehicle_tanke_skin/To_unity/Root/gun_a/gun/gun_c/gun_d/guadian""]","{}","Assets/_Art_LastWar/Models/Cars/tanke/prefab/A_vehicle_tanke.prefab",""
"{}","",0,"{}","{}","","","","{}",0,"{}","","Assets/Main/Prefabs/PVE/DyHeroes/A_Hero_ben_low.prefab","","","vehicle_tanke_skin/To_unity/Root/gun_a/gun",9,0,"Assets/_Art_LastWar/Models/Cars/tanke/prefab/A_vehicle_tanke.prefab","","ben","","","1","","","{}","cfm_yingxiong_pose_13","hero_icon_1007","","hero_icon_1007","[""vehicle_tanke_skin/To_unity/Root/gun_a/gun/gun_c/gun_d/guadian""]","{}","Assets/_Art_LastWar/Models/Cars/tanke/prefab/A_vehicle_tanke.prefab",""
