firelogic,damage_delay,is_normal_attack,enhance_fragment,pos_condition,is_focus,pve_buff_bullet,pvp_pos_num,property_out_of_battle,animation,buff_evaluate_score,pvp_troop_condition,triggerType,name,level_up_desc,pvp_damage_type,icon,property_target_type,maxStar,skill_cat,star,enhance_desc_pre,actionType,power,group,levelup_consume_sp,pvp_damage,pvp_buff_param,level_up_desc_param,animation_move,priority,property,horizontal_speed,buff_condition,pvp_buff_bullet,property_pos_condition,bullet,attack_range,maxLevel,debuff_evaluate_score,pvp_triggerParam,pvp_buff_condition,pvp_bullet,pvp_bullet_critical,pvp_cast_interval,display_type,pvp_cast_count,bullet_damage_rate,apType,desc_para,target_type,damage_ratio,pvp_other_condition_para,moving_logic,enhance_resource,pvp_other_condition,desc,pvp_pos_condition,pvp_actionParam,buff_param,property_troop_condition,pvp_actionType,pvp_triggerType,pre_cd,pvp_apType,skin_skill_effect,skill_effect,id,bullet_critical,troop_condition,matching_animation,matching_animation_move,displayCast_type,pve_animation_move,effect_incity,firepoint,need_rank,damage_to_monster,cast_interval,cast_count,other_condition_para,property_pos_num,world_bullet,other_condition,property_other_condition,attack_interval,pvp_buff_ID,actionParam,pve_animation,pos_num,pvp_buff_level,triggerParam,buff
2,"","0","20","","","","","","attack","0","0",0,"hero_equip_skill_name_501760","","1","Assets/Main/Sprites/SkillIcons/skill_new_icon6.png","0",5,0,0,"{}",1,"[3600,1920]",501760,"[200,200,400,400,600,600,800,800,1200,1600,2400,3200,4000,4800,5600,6400,7200,8000,9200,10400,11600,12800,14000,15200,16400,18000,20000,22000,24000,26000,28000,30000,32000,34000,36000,38000,40000,42000,44000,0]","0.981;0.032","","{}","attack_move","2","",20,"4","","0","501728","40",1,"0","","4","","","","2","1","[""0;0"",""0.981;0.032""]",0,"1,3.6297,0.1184","0",1,"","{}","","0","hero_equip_skill_desc_501760_new","0","","","0","1","","10000","0","{}","501720",501760,"","","attack","attack_move","","attack_move","","[2,3]","1","","","","","","","4","0","10000","501742","","attack","","5","","501742"
0,"","1","","","","","","","attack","0","",0,"","","","","0",0,0,1,"{}",1,"[800,100]",1,"{}","","","{}","attack_move","1","",20,"","","","1","10",1,"0","","","","","","","","[""1;0"",""0;0""]",0,"","0",1,"","{}","","","","","","","","1","","0","0","{}","1",1,"","","attack","attack_move","","attack_move","","{}","","","","","","","","1","","1000","","","attack","","","",""
0,"","1","","","","","","","attack","0","",0,"","","","","0",0,0,1,"{}",1,"[800,100]",2,"{}","","","{}","attack_move","1","",20,"","","","2","10",1,"0","","","","","","","","[""1;0"",""1;0""]",0,"","0",1,"","{}","","","","","","","","1","","0","0","{}","2",2,"","","attack","attack_move","","attack_move","","{}","","","","","","","","1","","1500","","","attack","","","",""
0,"","1","","","","","","","attack","0","",0,"","","","","0",0,0,1,"{}",1,"[800,100]",3,"{}","","","{}","attack_move","1","",20,"","","","4","10",1,"0","","","","","","","","[""1;0"",""1;0""]",0,"","0",1,"","{}","","","","","","","","1","","0","0","{}","4",3,"","","attack","attack_move","","attack_move","","{}","","","","","","","","1","","2000","","","attack","","","",""
0,"","1","","","","","","","attack","0","",0,"","","","","0|1|2",0,0,1,"{}",1,"[800,100]",4,"{}","","","{}","attack_move","1","",20,"","","","6","10",1,"0","","","","","","","","[""1;0"",""0;0""]",0,"","0|1|2",1,"","{}","","","","","","","","1","","0","0","{}","1",4,"","","attack","attack_move","","attack_move","","{}","","","","","","","","1","","500","","","attack","","","",""
0,"","1","","","","","","","attack","0","",0,"","","","","0",0,0,1,"{}",1,"[800,100]",5,"{}","","","{}","attack_move","1","",20,"","","","7","10",1,"0","","","","","","","","[""1;0"",""0;0""]",0,"","0",1,"","{}","","","","","","","","1","","0","0","{}","7",5,"","","attack","attack_move","","attack_move","","{}","","","","","","","","1","","1000","","","attack","","","",""
0,"","1","","","","","","","attack","0","",0,"","","","","0",0,0,1,"{}",1,"[800,100]",6,"{}","","","{}","attack_move","1","",20,"","","","8","10",1,"0","","","","","","","","[""1;0"",""0;0""]",0,"","0",1,"","{}","","","","","","","","1","","0","0","{}","8",6,"","","attack","attack_move","","attack_move","","{}","","","","","","","","1","","1000","","","attack","","","",""
0,"","0","90","","","","3","","attack","0","0",0,"2401410","","1","Assets/Main/Sprites/SkillIcons/skill_icon60.png","0",5,0,5,"[""1000082"",""1401411"",""1000083"",""1401411"",""1000084""]",1,"[38400,1920]",401410,"[200,200,400,400,600,600,800,800,1200,1600,2400,3200,4000,4800,5600,6400,7200,8000,9200,10400,11600,12800,14000,15200,16400,18000,20000,22000,24000,26000,28000,30000,32000,34000,36000,38000,40000,42000,44000,0]","2.307;0.12","","{}","attack_move","2","",20,"","","10","401415","20",30,"0","","","","","","2","1","[""0;0"",""2.307;0.12""]",0,"","0",2.2,"","{}","","0","1401410","10","","","0","1","","9000","0","{}","1090",401415,"","","attack","attack_move","","attack_move","","{}","26","","","","","3","","1","0","9000","","","attack","","","",""
0,"","1","","","","","","","attack","0","",0,"","","","","0",0,0,1,"{}",1,"[800,100]",9,"{}","","","{}","attack_move","1","",20,"","","","9","10",1,"0","","","","","","","","[""1;0"",""0;0""]",0,"","0",1,"","{}","","","","","","","","1","","0","0","{}","9",9,"","","attack","attack_move","","attack_move","","{}","","","","","","","","1","","4000","","","attack","","","",""
0,"","1","","","","","","","attack","0","",0,"","","","","0",0,0,1,"{}",1,"[800,100]",10,"{}","","","{}","attack_move","1","",20,"","","","10","10",1,"0","","","","","","","","[""1;0"",""0;0""]",0,"","0",1,"","{}","","","","","","","","1","","0","0","{}","10",10,"","","attack","attack_move","","attack_move","","{}","","","","","","","","1","","1000","","","attack","","","",""
