effect,first_name,last_name,template_id,id,base_supply,trans_goods,quality,base_produce,worker_dialog_idle,working_building,star,isBonus,speed_run_city,trans_resource_item,base_process,isShow,power,base_collect,rate_recruit,desc,speed_city,gender,appearance,garbage_max
"[75152,0.004]","440009","440200","",21505,"","510007;1",2,"","worker_hall_dialog_idle1","[10107000]",0,"",4,"","",0,1200,"",2500,"",4,0,22402,4
"[75152,0.004]","440009","440207","",21506,"","510007;1",2,"","worker_hall_dialog_idle1","[10107000]",0,"",4,"","",0,1200,"",2500,"",4,0,22407,4
"[75152,0.004]","440009","440101","",21507,"","510007;1",2,"","worker_hall_dialog_idle1","[10107000]",0,"",4,"","",0,1200,"",2500,"",4,1,21304,4
"[75152,0.004]","440009","440104","",21508,"","510007;1",2,"","worker_hall_dialog_idle1","[10107000]",0,"",4,"","",0,1200,"",2500,"",4,1,21104,4
"[50106,0.025]","440005","440205","",51207,"","510010;1",5,"","worker_hall_dialog_idle1","[10103000]",0,"1",10,"","",0,5000,"",250,"",10,0,22208,10
"[50106,0.025]","440005","440207","",51208,"","510010;1",5,"","worker_hall_dialog_idle1","[10103000]",0,"1",10,"","",0,5000,"",250,"",10,0,22506,10
"[50106,0.025]","440005","440107","",51209,"","510010;1",5,"","worker_hall_dialog_idle1","[10103000]",0,"1",10,"","",0,5000,"",250,"",10,1,21402,10
"[50106,0.025]","440005","440110","",51210,"","510010;1",5,"","worker_hall_dialog_idle1","[10103000]",0,"1",10,"","",0,5000,"",250,"",10,1,21105,10
"[50106,0.025]","440005","440111","",51211,"","510010;1",5,"","worker_hall_dialog_idle1","[10103000]",0,"1",10,"","",0,5000,"",250,"",10,0,22104,10
"[50106,0.025]","440005","440109","",51212,"","510010;1",5,"","worker_hall_dialog_idle1","[10103000]",0,"1",10,"","",0,5000,"",250,"",10,0,22506,10
"[50106,0.025]","440005","440212","",51213,"","510010;1",5,"","worker_hall_dialog_idle1","[10103000]",0,"1",10,"","",0,5000,"",250,"",10,1,21105,10
"[50106,0.025]","440005","440217","",51214,"","510010;1",5,"","worker_hall_dialog_idle1","[10103000]",0,"1",10,"","",0,5000,"",250,"",10,1,21402,10
"[50106,0.025]","440005","440113","",51215,"","510010;1",5,"","worker_hall_dialog_idle1","[10103000]",0,"1",10,"","",0,5000,"",250,"",10,0,22103,10
"[50106,0.025]","440005","440114","",51216,"","510010;1",5,"","worker_hall_dialog_idle1","[10103000]",0,"1",10,"","",0,5000,"",250,"",10,0,22104,10
"[50106,0.025]","440005","440221","",51217,"","510010;1",5,"","worker_hall_dialog_idle1","[10103000]",0,"1",10,"","",0,5000,"",250,"",10,1,21402,10
"[50106,0.025]","440005","440210","",51218,"","510010;1",5,"","worker_hall_dialog_idle1","[10103000]",0,"1",10,"","",0,5000,"",250,"",10,1,21105,10
"[50106,0.025]","440005","440112","",51219,"","510010;1",5,"","worker_hall_dialog_idle1","[10103000]",0,"1",10,"","",0,5000,"",250,"",10,0,22104,10
"[50106,0.025]","440005","440115","",51220,"","510010;1",5,"","worker_hall_dialog_idle1","[10103000]",0,"1",10,"","",0,5000,"",250,"",10,0,22107,10
"[50106,0.025]","440005","440211","",51221,"","510010;1",5,"","worker_hall_dialog_idle1","[10103000]",0,"1",10,"","",0,5000,"",250,"",10,1,21506,10
"[50106,0.025]","440005","440209","",51222,"","510010;1",5,"","worker_hall_dialog_idle1","[10103000]",0,"1",10,"","",0,5000,"",250,"",10,1,21507,10
"[75054,0.01]","440013","440101","",42007,"","510009;1",4,"","worker_hall_dialog_idle1","[10117000]",0,"",8,"","",0,2500,"",750,"",8,1,21105,8
