diff,send,accept1,position,time_limit,gotype2,para1,add,mainshow,season,quest_pre,pre,duration,reward_para,extra_reward,listType,name,type2,icon,accept2,id,type1,guide_complete,autoreward,bp_score,list,gopara,reward,is_chapter,autoopen,order,bubble,sub_icon,para3,desctype,desc,type,para2,progressshow
"","","","1","",54,"[""90""]","1","","","","","","","","","170414","59","UITask_icon_11","10100000",1024001,"2","","","{}","","[""15""]","102012401","1","",1,"","","",1,"170061",1,4,"1"
"","","","1","",36,"[""15005""]","","","","","","","","","","170400","300","UITask_Enemy_1","10100000",1024002,"2","","","{}","","[""19""]","102012401","1","",2,"","","",1,"172029",1,1,"1"
"","","","1","",1,"[""10101000""]","1","","","","","","","","","170400","0","UI_building_10101000","10100000",1024003,"2","","","{}","","[""10101000"",""5""]","102012401","1","",3,"","1","",2,"371034",1,20,"1"
"","","","1","",1,"[""10106000""]","1","","","","","","","","","170400","0","UI_building_10106000","10100000",1024004,"2","","","{}","","[""10106000"",""5""]","102012401","1","",4,"","1","",2,"371034",1,20,"1"
"","","","1","",36,"[""15010""]","","","","","","","","","","170400","300","UITask_Enemy_1","10100000",1024005,"2","","","{}","","[""19""]","102012401","1","",5,"","","",1,"172030",1,1,"1"
"","","","1","",36,"[""19""]","","","","","","","","","","170400","240","UITask_zombielord","10100000",1024006,"2","","","{}","","[""19""]","102012401","1","",6,"","","",2,"170083",1,1,"1"
"","","","1","",1,"[""10203000""]","1","","","","","","","","","170400","0","UI_building_10203000","10100000",1024007,"2","","","{}","","[""10203000"",""5""]","102012401","1","",7,"","1","",2,"371034",1,20,"1"
"","","","1","",1,"[""10206000""]","1","","","","","","","","","170400","0","UI_building_10206000","10100000",1024008,"2","","","{}","","[""10206000"",""5""]","102012401","1","",8,"","1","",2,"371034",1,20,"1"
"","","","1","",1,"[""10100000""]","","","","","","","","","","170400","311","UI_building_10100000","10100000",1024009,"2","","","{}","","[""10100000"",""5""]","102012402","1","",9,"","1","20",2,"372020",1,1,"1"
"","","","1","",12,"[""1""]","1","","","","","","","","1","","9","UI_building_10114000","10100000",520020000,"1","","","{}","503","[""1""]","102020000","0","",499,"","","",8,"170427",1,20000000,"1"
"","","","1","",11,"{}","1","","","","","","","","1","2000020","99","UI_building_10114000","10100000",540000300,"1","","","{}","505","[""9""]","102023806","0","",907,"","","",1,"371042",1,100,"1"
"","","","","",0,"{}","1","","","","","","","","","","326","","",2302001,"13","","","{}","","{}","108410001","","",0,"","","",0,"2000191",13,500,""
"","","","","",0,"{}","1","","","","","","","","","","326","","",2302002,"13","","","{}","","{}","108410002","","",0,"","","",0,"2000191",13,1000,""
"","","","","",0,"{}","1","","","","","","","","","","326","","",2302003,"13","","","{}","","{}","108410003","","",0,"","","",0,"2000191",13,3000,""
"","","","","",0,"{}","1","","","","","","","","","","326","","",2302004,"13","","","{}","","{}","108410004","","",0,"","","",0,"2000191",13,6000,""
"","","","","",0,"{}","1","","","","","","","","","","326","","",2302005,"13","","","{}","","{}","108410005","","",0,"","","",0,"2000191",13,10000,""
"","","","1","",36,"[""16001""]","","","","","200015010","","","","0","170400","300","UI_building_10114000","10100099",200016001,"1","","","{}","200","[""20""]","102021860","0","",1,"","","",16,"172000",1,1,""
"","","","1","",36,"[""16004""]","","","","","200016001","","","","0","170400","300","UI_building_10114000","10100099",200016004,"1","","","{}","200","[""20""]","102021861","0","",1,"","","",16,"172000",1,1,""
