effect,priority,shield_time,effect_point_type,icon_pro,object,para1,damage,skill_effect_type,rate,skill_anim,effect_num_des,scale,name,attached_skill,des,icon,id,health_enable,effect_des,level,group,trigger,shield,cost,effect_num,type2,power,cure,anger,status,effect_path,type,type_des,object_num
"35000|35000|35000|35000|35000|35000|35000|35000|35000|35000","","","1","UIPVEHeroAppear_img_skill_1003",0,"","","2","","VFX_pve_skill_timeline","35000","0","160058","","163201","skill_icon_020",9100291,"","2%|4%|6%|8%|10%|12%|14%|16%|18%|20%","10","","","","2|3|4|5","5|7|10|15|20|5|7|10|15|20","","0|0|0|0|0","","","","",2,"163087","1"
"30063;40010|30063;40010|30063;40010|30063;40010|30063;40010|30063;40010|30063;40010|30063;40010|30063;40010|30063;40010","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","30063|40010","0","163254","","163251","skill_icon_036",9100292,"","3%;10%|6%;15%|9%;20%|12%;25%|15%;30%|18%;10%|21%;15%|24%;20%|27%;25%|30%;30%","10","","","","2|3|4|5","10;10|15;15|20;20|25;25|30;30|10;10|15;15|20;20|25;25|30;30","","0|0|0|0|0","","","","",2,"163087","1"
"73|73|73|73|73|73|73|73|73|73","","","","UIPVEHeroAppear_img_skill_1002",0,"","","","","","73","0","163244","","163069","skill_icon_033",9100293,"","100|150|200|250|300|100|150|200|250|300","10","","","","2|3|4|5","100|150|200|250|300|100|150|200|250|300","","0|0|0|0|0","","","","",1,"163087","1"
"35004|35004|35004|35004|35004|35004|35004|35004|35004|35004","","","1","UIPVEHeroAppear_img_skill_1003",0,"","","2","","VFX_pve_skill_timeline","35004","0","160208","","163202","skill_icon_019",9100301,"","2.5%|3%|3.5%|4%|4.5%|5%|5.5%|6%|6.5%|7%","10","","","","2|3|4|5","3|4|5|6|7|3|4|5|6|7","","0|0|0|0|0","","","","",2,"163087","1"
"35133|35133|35133|35133|35133|35133|35133|35133|35133|35133","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","35133","0","160072","","163079","skill_icon_1003",9100302,"","5%|10%|15%|20%|25%|5%|10%|15%|20%|25%","1","","","","2|3|4|5","5|10|15|20|25|5|10|15|20|25","","0|0|0|0|0","","","","",1,"163087","1"
"40106|40106|40106|40106|40106|40106|40106|40106|40106|40106","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","40106","0","163226","","163221","skill_icon_027",9100303,"","0.5%|1%|1.5%|2%|2.5%|3%|3.5%|4%|4.5%|5%","10","","","","2|3|4|5","1|2|3|4|5|1|2|3|4|5","","0|0|0|0|0","","","","",1,"163087","1"
"35000|35000|35000|35000|35000|35000|35000|35000|35000|35000","","","1","UIPVEHeroAppear_img_skill_1003",0,"","","2","","VFX_pve_skill_timeline","35000","0","160076","","163201","skill_icon_020",9100311,"","1%|2%|3%|4%|5%|6%|7%|8%|9%|10%","10","","","","2|3|4|5","2|4|6|8|10|2|4|6|8|10","","0|0|0|0|0","","","","",2,"163087","1"
"30071|30071|30071|30071|30071|30071|30071|30071|30071|30071","","","","UIPVEHeroAppear_img_skill_1003",0,"","","","","","30071","0","160100","","163054","skill_icon_1003",9100312,"","1%|2%|3%|4%|5%|6%|7%|8%|9%|10%","10","","","","2|3|4|5","2|4|6|8|10|2|4|6|8|10","","0|0|0|0|0","","","","",1,"163087","1"
"30077;30082|30077;30082|30077;30082|30077;30082|30077;30082|30077;30082|30077;30082|30077;30082|30077;30082|30077;30082","","","1","UIPVEHeroAppear_img_skill_1001",0,"","","2","","","30077|30082","0","163206","","163208","skill_icon_001",9100313,"","2%;5%|4%;7%|6%;10%|8%;15%|10%;20%|12%;5%|14%;7%|16%;10%|18%;15%|20%;20%","10","","","","2|3|4|5","5;5|7;7|10;10|15;15|20;20|5;5|7;7|10;10|15;15|20;20","","0|0|0|0|0","","","","",1,"163087","1"
"","","","","",1,"","","","","","35066","0","160202","","160203","skill_icon_1004",105501,"","10%|13%|16%|19%|22%|25%|30%","5","","","","","","","100|200|300|400|500|600|700","","","600030","",12,"161015","1"
"","","","","",1,"","","","","","35066","0","160202","","160203","skill_icon_1004",105502,"","17%|22%|27%|32%|37%|42%|50%","5","","","","","","","100|200|300|400|500|600|700","","","600031","",12,"161015","1"
"","","","","",1,"","","","","","35066","0","160202","","160203","skill_icon_1004",105503,"","23%|30%|37%|44%|51%|58%|70%","5","","","","","","","100|200|300|400|500|600|700","","","600032","",12,"161015","1"
"35004|35004|35004|35004|35004|35004|35004|35004|35004|35004","","","1","UIPVEHeroAppear_img_skill_1003",0,"","","2","","VFX_pve_skill_timeline","35004","0","160098","","163202","skill_icon_019",9100321,"","1%|2%|3%|4%|5%|6%|7%|8%|9%|10%","10","","","","2|3|4|5","2|4|6|8|10|2|4|6|8|10","","0|0|0|0|0","","","","",2,"163087","1"
"35109|35109|35109|35109|35109|35109|35109|35109|35109|35109","","","","UIPVEHeroAppear_img_skill_1001",0,"","","","","","35109","0","130192","","163064","skill_icon_035",9100322,"","2%|4%|6%|8%|10%|12%|14%|16%|18%|20%","10","","","","2|3|4|5","5|7|10|15|20|5|7|10|15|20","","0|0|0|0|0","","","","",2,"163087","1"
"30074;30085|30074;30085|30074;30085|30074;30085|30074;30085|30074;30085|30074;30085|30074;30085|30074;30085|30074;30085","","","1","UIPVEHeroAppear_img_skill_1001",0,"","","2","","","30074|30085","0","160068","","163060","skill_icon_005",9100323,"","2%;5%|4%;7%|6%;10%|8%;15%|10%;20%|12%;5%|14%;7%|16%;10%|18%;15%|20%;20%","10","","","","2|3|4|5","5;5|7;7|10;10|15;15|20;20|5;5|7;7|10;10|15;15|20;20","","0|0|0|0|0","","","","",1,"163087","1"
"31007|31007|31007|31007|31007|31007|31007","3|4|5|6|7|8|10","","","",0,"","","","","","31007","0","160210","","160029","skill_icon_1001",104501,"","3%|4%|5%|6%|7%|8%|10%","5","24","","","","3|4|5|6|7|8|10","","100|200|300|400|500|600|700","","","","",1,"150164","1"
"31007|31007|31007|31007|31007|31007|31007","7|9|11|13|15|17|20","","","",0,"","","","","","31007","0","160210","","160029","skill_icon_1001",104502,"","7%|9%|11%|13%|15%|17%|20%","5","24","","","","7|9|11|13|15|17|20","","100|200|300|400|500|600|700","","","","",1,"150164","1"
